Call ID;Customer_ID;Calling Date;Call Duration;Source City;Destination City
633414752;774653991;2017-05-07 00:00:00;122;Orissa;Orissa
554717928;809054628;2018-06-21 00:00:00;105;Mumbai;Chandigarh
738453767;348827155;2018-10-10 00:00:00;8;Gurugram;Bangalore
916426676;947469435;2018-08-11 00:00:00;137;Noida;Bangalore
78039391;136306340;2018-11-14 00:00:00;93;Jaipur;Gurugram
763141812;923641279;2017-12-28 00:00:00;5;Mumbai;Kanpur
779615172;262982691;2018-07-16 00:00:00;23;Jaipur;Bangalore
617066961;790705638;2017-02-23 00:00:00;78;Bangalore;Kanpur
743677912;363568988;2018-12-21 00:00:00;131;Orissa;Dehradun
55478305;275070596;2017-11-10 00:00:00;128;Shimla;Kanpur
344552639;248798219;2018-06-20 00:00:00;9;Delhi;Noida
551175184;51932061;2018-02-10 00:00:00;94;Noida;Mumbai
859547862;827763755;2018-10-03 00:00:00;75;Chandigarh;Gurugram
803422755;160825897;2018-05-22 00:00:00;111;Hyderabad;Chennai
854621956;559673576;2018-03-21 00:00:00;14;Orissa;Orissa
21434945;321007191;2017-08-12 00:00:00;46;Kanpur;Delhi
813366986;996723263;2018-05-27 00:00:00;141;Chandigarh;Delhi
227935586;691085971;2018-06-17 00:00:00;106;Orissa;Delhi
290495346;993603999;2018-11-16 00:00:00;103;Mumbai;Mangalore
804270333;442254237;2018-04-09 00:00:00;141;Chennai;Noida
538145364;350233400;2018-09-17 00:00:00;18;Dehradun;Shimla
307352922;789810305;2018-02-13 00:00:00;43;Mumbai;Mumbai
783783364;636419759;2017-06-23 00:00:00;130;Shimla;Noida
207954353;6214517;2018-05-21 00:00:00;52;Kanpur;Chandigarh
250458288;64983092;2018-12-11 00:00:00;82;Orissa;Chennai
236650813;869575977;2018-09-14 00:00:00;66;Kanpur;Mumbai
67575744;995424300;2018-11-20 00:00:00;101;Mangalore;Noida
539084217;677791008;2017-09-01 00:00:00;67;Delhi;Chennai
412002527;540200839;2018-12-15 00:00:00;138;Mumbai;Mangalore
914807510;529586537;2018-03-05 00:00:00;12;Bangalore;Chandigarh
629942283;881447338;2018-06-14 00:00:00;100;Mumbai;Mangalore
164381837;262550351;2018-10-28 00:00:00;124;Noida;Kanpur
150917372;242113119;2017-01-09 00:00:00;122;Shimla;Chennai
469510070;278561474;2018-07-11 00:00:00;131;Bangalore;Shimla
805772504;252253088;2017-01-07 00:00:00;1;Dehradun;Chennai
125135902;100019136;2018-09-19 00:00:00;27;Mangalore;Gurugram
349076312;475422856;2017-07-09 00:00:00;141;Hyderabad;Dehradun
749042787;869575977;2017-11-12 00:00:00;149;Mangalore;Chandigarh
999995551;82081338;2017-09-13 00:00:00;143;Jaipur;Shimla
602885641;398468174;2018-07-09 00:00:00;9;Mumbai;Orissa
297262815;816760250;2017-05-03 00:00:00;43;Orissa;Gurugram
401593628;561956130;2018-09-27 00:00:00;107;Shimla;Kanpur
28291711;235259383;2018-05-19 00:00:00;33;Chennai;Noida
355749732;301851847;2017-01-20 00:00:00;102;Noida;Orissa
760922171;137583013;2018-02-07 00:00:00;143;Gurugram;Hyderabad
563741345;834604478;2018-11-15 00:00:00;5;Delhi;Chennai
656019673;217376019;2018-06-24 00:00:00;13;Dehradun;Chandigarh
772526443;437873116;2018-11-16 00:00:00;130;Mangalore;Bangalore
295845471;826767383;2017-03-23 00:00:00;38;Dehradun;Jaipur
975025407;423538465;2017-06-27 00:00:00;125;Mumbai;Hyderabad
808670737;431433837;2017-02-05 00:00:00;134;Kanpur;Mumbai
58000605;668870440;2018-07-04 00:00:00;63;Kanpur;Orissa
798127019;444926384;2017-01-19 00:00:00;108;Shimla;Gurugram
841074252;532563797;2018-09-12 00:00:00;31;Delhi;Gurugram
409379620;661317439;2018-10-25 00:00:00;81;Delhi;Gurugram
664677543;711998661;2018-01-14 00:00:00;32;Orissa;Bangalore
281708556;478581601;2018-04-10 00:00:00;58;Mumbai;Orissa
470940690;279075279;2017-12-09 00:00:00;47;Bangalore;Mangalore
667278197;111520353;2018-03-26 00:00:00;60;Chandigarh;Dehradun
603059830;458687321;2018-05-16 00:00:00;5;Mangalore;Chandigarh
842204956;652254323;2017-05-12 00:00:00;32;Delhi;Hyderabad
612300456;31357827;2018-12-09 00:00:00;148;Gurugram;Shimla
159714863;895967153;2017-04-17 00:00:00;29;Dehradun;Hyderabad
40892794;643403210;2017-11-13 00:00:00;112;Delhi;Delhi
285100346;662472887;2017-02-22 00:00:00;123;Mangalore;Gurugram
982800621;956078023;2017-11-16 00:00:00;118;Hyderabad;Delhi
563441863;920650441;2017-01-10 00:00:00;56;Orissa;Delhi
